unit_id,worker_id,worker_trust,external_type,step_1_select_the_valid_relations,step_2b_if_you_selected_none_in_step_1_explain_why,step_2a_copy__paste_only_the_words_from_the_sentence_that_express_the_relation_you_selected_in_step1,started_at,created_at,term1,term2,sentence
227816726,13507187,0.8962962962963,amt,[DIAGNOSED_BY_TEST_OR_DRUG],N/A,"have been developed, such as FibroTest, that estimates","11/23/2012 21:39:29","11/23/2012 21:40:53","[LIVER FIBROSIS]","[DIAGNOSTIC TEST]","Non-invasive [DIAGNOSTIC TEST]s have been developed, such as FibroTest, that estimates [LIVER FIBROSIS], and SteatoTest, that estimates steatosis, however their use has not been widely adopted."
227816726,11842392,0.89136363636364,amt,[DIAGNOSED_BY_TEST_OR_DRUG],N/A,"[DIAGNOSTIC TEST]s have been developed, such as FibroTest, that estimates [LIVER FIBROSIS","11/23/2012 21:49:00","11/23/2012 21:49:40","[LIVER FIBROSIS]","[DIAGNOSTIC TEST]","Non-invasive [DIAGNOSTIC TEST]s have been developed, such as FibroTest, that estimates [LIVER FIBROSIS], and SteatoTest, that estimates steatosis, however their use has not been widely adopted."
227816726,14026170,0.92426910299003,amt,[DIAGNOSED_BY_TEST_OR_DRUG],n/a,"that estimates","11/23/2012 22:23:10","11/23/2012 22:23:42","[LIVER FIBROSIS]","[DIAGNOSTIC TEST]","Non-invasive [DIAGNOSTIC TEST]s have been developed, such as FibroTest, that estimates [LIVER FIBROSIS], and SteatoTest, that estimates steatosis, however their use has not been widely adopted."
227816726,13584249,0.87857142857143,amt,[DIAGNOSED_BY_TEST_OR_DRUG],N/A,"have been developed, such as FibroTest","11/23/2012 23:07:22","11/23/2012 23:08:26","[LIVER FIBROSIS]","[DIAGNOSTIC TEST]","Non-invasive [DIAGNOSTIC TEST]s have been developed, such as FibroTest, that estimates [LIVER FIBROSIS], and SteatoTest, that estimates steatosis, however their use has not been widely adopted."
227816726,3982102,0.89411764705882,amt,[DIAGNOSED_BY_TEST_OR_DRUG],N/A,"[DIAGNOSTIC TEST]s have been developed, such as FibroTest, that estimates [LIVER FIBROSIS],","11/23/2012 23:13:02","11/23/2012 23:13:43","[LIVER FIBROSIS]","[DIAGNOSTIC TEST]","Non-invasive [DIAGNOSTIC TEST]s have been developed, such as FibroTest, that estimates [LIVER FIBROSIS], and SteatoTest, that estimates steatosis, however their use has not been widely adopted."
227816726,1171781,0.86777102330294,amt,[DIAGNOSED_BY_TEST_OR_DRUG],N/A,"[DIAGNOSTIC TEST]s have been developed, that estimates [LIVER FIBROSIS],","11/23/2012 23:40:15","11/23/2012 23:41:01","[LIVER FIBROSIS]","[DIAGNOSTIC TEST]","Non-invasive [DIAGNOSTIC TEST]s have been developed, such as FibroTest, that estimates [LIVER FIBROSIS], and SteatoTest, that estimates steatosis, however their use has not been widely adopted."
227816726,7233545,0.875,amt,[DIAGNOSED_BY_TEST_OR_DRUG],n/a,"DIAGNOSTIC TEST].....that estimates [LIVER FIBROSIS]","11/24/2012 00:10:52","11/24/2012 00:11:52","[LIVER FIBROSIS]","[DIAGNOSTIC TEST]","Non-invasive [DIAGNOSTIC TEST]s have been developed, such as FibroTest, that estimates [LIVER FIBROSIS], and SteatoTest, that estimates steatosis, however their use has not been widely adopted."
227816726,13195124,0.9,amt,[DIAGNOSED_BY_TEST_OR_DRUG],N/A,"Non-invasive [DIAGNOSTIC TEST]s have been developed, such as FibroTest, that estimates [LIVER FIBROSIS]","11/24/2012 02:28:17","11/24/2012 02:29:48","[LIVER FIBROSIS]","[DIAGNOSTIC TEST]","Non-invasive [DIAGNOSTIC TEST]s have been developed, such as FibroTest, that estimates [LIVER FIBROSIS], and SteatoTest, that estimates steatosis, however their use has not been widely adopted."
227816726,11990524,0.94848484848485,amt,[DIAGNOSED_BY_TEST_OR_DRUG],n/a,"that estimates [LIVER FIBROSIS]","11/24/2012 02:53:27","11/24/2012 02:53:43","[LIVER FIBROSIS]","[DIAGNOSTIC TEST]","Non-invasive [DIAGNOSTIC TEST]s have been developed, such as FibroTest, that estimates [LIVER FIBROSIS], and SteatoTest, that estimates steatosis, however their use has not been widely adopted."
227816726,13397770,1,amt,[DIAGNOSED_BY_TEST_OR_DRUG],na,"[DIAGNOSTIC TEST]s have been developed, such as FibroTest, that estimates [LIVER FIBROSIS]","11/24/2012 03:58:13","11/24/2012 03:59:45","[LIVER FIBROSIS]","[DIAGNOSTIC TEST]","Non-invasive [DIAGNOSTIC TEST]s have been developed, such as FibroTest, that estimates [LIVER FIBROSIS], and SteatoTest, that estimates steatosis, however their use has not been widely adopted."
227816726,14161692,0.87654320987654,amt,[DIAGNOSED_BY_TEST_OR_DRUG],n/a,"diagnostic use of a test","11/24/2012 04:13:50","11/24/2012 04:16:32","[LIVER FIBROSIS]","[DIAGNOSTIC TEST]","Non-invasive [DIAGNOSTIC TEST]s have been developed, such as FibroTest, that estimates [LIVER FIBROSIS], and SteatoTest, that estimates steatosis, however their use has not been widely adopted."
227816726,14062837,1,amt,[DIAGNOSED_BY_TEST_OR_DRUG],N/A,Test,"11/24/2012 08:32:47","11/24/2012 08:33:36","[LIVER FIBROSIS]","[DIAGNOSTIC TEST]","Non-invasive [DIAGNOSTIC TEST]s have been developed, such as FibroTest, that estimates [LIVER FIBROSIS], and SteatoTest, that estimates steatosis, however their use has not been widely adopted."
