job_id,unit_id,created_at,updated_at,agreement,agg,confidence,difficulty,term1,term2,sentence
146522,227816726,"11/23/2012 21:24:51","11/24/2012 19:30:45",0.57777777777778,[DIAGNOSED_BY_TEST_OR_DRUG],0,0,"[LIVER FIBROSIS]","[DIAGNOSTIC TEST]","Non-invasive [DIAGNOSTIC TEST]s have been developed, such as FibroTest, that estimates [LIVER FIBROSIS], and SteatoTest, that estimates steatosis, however their use has not been widely adopted."
146522,227816715,"11/23/2012 21:24:51","11/24/2012 19:31:48",0.37777777777778,[NONE],0,0,"[LYMPH VESSEL]","[HYPOVOLEMIC SHOCK]","However, recent evidence indicates that anthrax also targets endothelial cells (cells that lines serous cavities, [LYMPH VESSEL]s, and blood vessels), causing vascular leakage of fluid and cells, and ultimately [HYPOVOLEMIC SHOCK] (low blood volume), and septic shock."
146522,227816704,"11/23/2012 21:24:51","11/24/2012 20:47:46",0.55555555555556,[PREVENTS],0,0,[HEMATURIA],[NEPHROPTOSIS],"However, [NEPHROPTOSIS] can be characterized by violent attacks of colicky flank pain, nausea, chills, hypertension, [HEMATURIA] and proteinuria."
146522,227816721,"11/23/2012 21:24:51","11/24/2012 20:48:31",0.44444444444444,[ASSOCIATED_WITH],0,0,[FIBROSIS],[GADOLINIUM],"Although gadolinium agents have proved useful for patients with renal impairment, in patients with severe renal failure requiring dialysis there is a risk of a rare but serious illnesses, such as nephrogenic systemic [FIBROSIS] and nephrogenic fibrosing dermopathy, that may be linked to the use of certain [GADOLINIUM]-containing agents."
146522,227816710,"11/23/2012 21:24:51","11/24/2012 19:15:27",0.37777777777778,[PART_OF],0,0,[AZASAN],[AZAMUN],"Azathioprine, also known as Imuran, [AZASAN] or [AZAMUN], which metabolises to 6-MP."
146522,227816727,"11/23/2012 21:24:51","11/24/2012 20:04:27",0.37777777777778,[IS_A],0,0,[DWARFISM],[HEIGHT],"In a person's youth, growth charts that track [HEIGHT] can be used to diagnose subtle forms of [DWARFISM] that have no other striking physical characteristics."
146522,227816716,"11/23/2012 21:24:51","11/24/2012 20:06:41",0.26666666666667,[PART_OF],0,0,[BLOOD],[ACIDURIA],"Argininosuccinic [ACIDURIA], also called argininosuccinic acidemia, is an inherited disorder that causes the accumulation of argininosuccinic acid (also known as ""ASA"") in the [BLOOD] and urine."
146522,227816705,"11/23/2012 21:24:51","11/24/2012 20:46:04",0.31111111111111,[IS_A],0,0,"[STATUS EPILEPTICUS]","[GELASTIC SEIZURE]","Seizures, Limbic Epilepsy, Partial-Onset Seizures, generalised-onset seizures, [STATUS EPILEPTICUS], Abdominal Epilepsy, Akinetic Seizures, Autonomic seizures, Massive Bilateral Myoclonus, Catamenial epilepsy, Drop seizures, Emotional seizures, Focal seizures, [GELASTIC SEIZURE]s, Jacksonian March, Lafora Disease, Motor seizures, Multifocal seizures, Neonatal seizures, Nocturnal seizures, Photosensitive epilepsy, Pseudo seizures, Sensory seizures, Subtle seizures, Sylvan Seizures, Withdrawal seizures, Visual Reflex Seizures amongst others."
146522,227816722,"11/23/2012 21:24:51","11/24/2012 20:59:02",0.42222222222222,[NONE],0,0,[HEAT],"[HYDROGEN PEROXIDE]","Conditions/substances to avoid include: [HEAT], light, bromides, chlorides, ammonia, alkalis, cyanides, copper salts, lead salts, iodoform and [HYDROGEN PEROXIDE]."
146522,227816711,"11/23/2012 21:24:51","11/24/2012 20:43:05",0.24444444444444,[NONE],0,0,[SMOKING],"[ANTIPLATELET DRUG]","This includes administering [ANTIPLATELET DRUG]s and controlling major vascular risk factors (hypertension, hypercholesterolemia, [SMOKING] and diabetes mellitus to mention a few)."
